pdb_id,delta_G,complex_count,mean_nearest_opposite_A,mean_nonpolar_to_nonpolar_cross_A,mean_nonpolar_to_charged_cross_A
4yc7,-32.67,470,,,
3wqb,-49.91,696,,,
4d0g,-32.79,213,,,
4rey,-39.76,218,,,
4x7s,-45.66,440,,,
4s0s,-45.34,726,,,
5brm,-39.52,1054,,,
5bn5,-28.3,965,,,
4ui1,-39.42,353,,,
4z80,-45.21,995,,,
4pw9,-27.79,446,,,
5d1l,-39.1,257,,,
2rvb,-39.06,156,8.492516,7.826416,6.915672
4uyq,-61.95,217,,,
4wwi,-44.62,755,,,
2mro,-21.83,120,10.522083,6.678682,9.111023
4zqu,-44.5,298,,,
4yeb,-44.35,588,,,
5d1k,-38.5,256,,,
4ypi,-44.02,1500,,,
2n01,-34.25,129,8.583092,7.525649,8.262133
4zrk,-34.25,1258,,,
5dob,-34.25,402,,,
4yvq,-32.49,203,,,
4ydh,-31.93,1014,,,
4zgq,-31.97,374,,,
4zrj,-31.61,379,,,
4uyp,-61.07,436,,,
5cmn,-38.0,2272,,,
4rs1,-43.5,372,,,
4zv4,-43.6,1105,,,
5cyk,-37.69,804,,,
4rjf,-37.68,816,,,
4xlw,-37.57,1476,,,
5ajk,-31.84,978,,,
4pgj,-43.29,483,,,
4xhu,-43.29,846,,,
4pvz,-43.17,898,,,
4yyp,-37.4,119,,,
4yiq,-32.53,429,,,
5e6p,-32.53,579,,,
5aam,-48.06,646,,,
4xl1,-37.2,676,,,
4cvw,-60.06,1948,,,
5a6w,-42.86,227,,,
4wnd,-42.71,355,,,
5ajj,-31.35,167,,,
4tq1,-19.73,290,,,
4y61,-36.81,626,,,
4xkl,-25.16,217,,,
5aoq,-47.87,640,,,
4w4o,-47.81,683,,,
4xvp,-47.81,1155,,,
5aaw,-47.74,1941,,,
4xwj,-47.67,236,,,
5e3e,-42.17,622,,,
2mws,-24.81,154,7.167542,7.475430,9.922879
4pj2,-58.95,488,,,
4yl8,-30.07,327,,,
4d2g,-29.99,814,,,
4weu,-29.93,710,,,
5bw7,-41.56,582,,,
4uem,-46.77,379,,,
4wem,-29.49,369,,,
4uf1,-29.43,157,,,
4tq0,-29.46,852,,,
4uwx,-29.46,495,,,
2n1d,-41.22,226,12.919116,7.209704,10.829233
5d1m,-41.14,256,,,
4xoi,-29.32,772,,,
4x4m,-45.98,1377,,,
4yn0,-40.36,370,,,
4ui0,-40.27,261,,,
4yiz,-46.21,1289,,,
5cxb,-45.87,817,,,
5e7f,-45.9,764,,,
4yj4,-45.69,164,,,
5c3f,-34.8,170,,,
5gpg,-50.71,202,,,
5j57,-61.07,388,,,
5hvf,-60.06,490,,,
5hgg,-58.6,747,,,
5eg3,-39.21,414,,,
5hpy,-39.3,738,,,
5jsb,-38.95,1602,,,
5dcq,-38.5,1069,,,
5lxm,-38.5,297,,,
5eoa,-39.95,229,,,
5j7c,-55.25,452,,,
5ibw,-54.81,192,,,
5cw7,-71.65,1203,,,
5ifs,-55.36,1242,,,
5eo9,-36.71,312,,,
5li1,-36.12,351,,,
5ays,-53.05,678,,,
5cx3,-35.77,553,,,
5sv3,-52.53,585,,,
5hvg,-52.51,1042,,,
5lxq,-35.35,602,,,
5ep6,-35.06,163,,,
5boz,-52.25,2289,,,
5ctr,-34.56,1031,,,
5jsn,-34.8,528,,,
4xkh,-34.4,564,,,
5k8q,-51.63,169,,,
5kho,-34.51,541,,,
5c4v,-34.01,856,,,
5szk,-34.01,313,,,
5chv,-33.26,910,,,
5jg6,-33.08,279,,,
5kov,-49.82,3263,,,
5b78,-32.68,140,,,
4zrp,-49.91,956,,,
5fvk,-32.79,204,,,
2n8j,-45.49,170,10.571039,7.089548,10.407296
5b77,-28.35,140,,,
5czf,-57.08,270,,,
5et1,-39.79,708,,,
5b75,-28.54,143,,,
5dju,-45.34,400,,,
5ft8,-39.56,4281,,,
5g1x,-28.07,292,,,
5inb,-39.44,326,,,
5ius,-56.48,657,,,
4z9v,-28.09,418,,,
4rt6,-44.97,977,,,
5ij9,-27.81,856,,,
5eb1,-39.12,543,,,
5fr2,-39.1,364,,,
5hk5,-39.02,925,,,
5e95,-44.54,260,,,
5j8h,-38.9,175,,,
5jlv,-44.66,1038,,,
5djt,-44.35,203,,,
5j28,-38.32,652,,,
5ejc,-38.27,655,,,
5lz3,-26.95,158,,,
4z9k,-49.41,374,,,
5tar,-32.18,332,,,
5d50,-31.88,1670,,,
5glh,-60.98,473,,,
5f5s,-43.71,230,,,
5szi,-37.65,314,,,
5k22,-43.39,305,,,
5ee5,-26.17,365,,,
5d28,-43.2,688,,,
5l8j,-32.53,358,,,
5f3x,-48.56,530,,,
5j56,-48.49,383,,,
5fr1,-31.29,349,,,
5eof,-30.94,232,,,
2n73,-37.07,149,,6.710190,
5hps,-37.05,447,,,
5m72,-42.7,171,,,
5dc4,-42.56,192,,,
5kve,-42.56,331,,,
5imt,-36.73,537,,,
5elu,-36.43,166,,,
5kwy,-36.34,709,,,
5ip4,-36.22,383,,,
5f4e,-41.77,442,,,
5fzt,-24.65,329,,,
4udm,-47.93,180,,,
4xxw,-30.2,866,,,
5dmj,-47.24,844,,,
5b76,-29.89,144,,,
5hlz,-47.38,1154,,,
5jem,-29.8,977,,,
5eql,-40.91,158,,,
5fv2,-63.61,637,,,
5jze,-29.26,469,,,
5ij0,-29.12,856,,,
5ixd,-40.82,441,,,
5b64,-40.84,296,,,
5j4a,-40.77,440,,,
5ioh,-34.87,650,,,
5imy,-34.87,1102,,,
5szj,-17.71,320,,,
5d3f,-29.08,461,,,
5jyl,-46.01,645,,,
5fw5,-40.51,294,,,
5jmc,-40.33,2039,,,
5lz6,-29.09,157,,,
2nbv,-28.72,188,7.082490,6.033634,8.262458
5lrw,-28.72,706,,,
5hpk,-45.74,450,,,
5jke,-40.19,870,,,
5jtl,-35.96,1091,,,
5jto,-28.3,780,,,
5jtm,-27.53,720,,,
5jtr,-31.97,780,,,
5jtp,-25.1,708,,,
5jtq,-30.81,704,,,
5jtn,-29.09,730,,,
5c67,-57.37,555,,,
5jhw,-56.07,784,,,
5gy2,-57.03,1221,,,
5v62,-45.11,363,,,
5t0f,-43.02,199,,,
5nwm,-42.23,164,,,
5jw9,-40.33,148,,,
5gjk,-39.5,162,,,
5m2j,-56.43,254,,,
5u4m,-53.7,384,,,
5nvl,-54.35,455,,,
5omb,-36.34,440,,,
6atk,-36.34,2898,,,
5kxh,-36.01,388,,,
5nvk,-53.64,955,,,
5vx3,-53.64,657,,,
5xeq,-53.64,817,,,
5lp5,-36.52,1690,,,
5m2i,-52.9,1612,,,
5wy2,-35.77,329,,,
5o2u,-52.29,377,,,
5wrv,-35.03,177,,,
5wb7,-34.93,2186,,,
5ky5,-34.83,392,,,
5wgg,-35.13,451,,,
5o05,-51.89,847,,,
5uk5,-34.77,493,,,
5tvq,-34.56,328,,,
5npo,-34.37,486,,,
5tgh,-34.37,652,,,
5mad,-51.13,1544,,,
5lgk,-33.79,1432,,,
5vwy,-33.6,177,,,
5mv8,-33.41,599,,,
5sxp,-33.1,282,,,
5m2m,-50.36,1661,,,
5xbf,-32.93,586,,,
5iia,-49.9,922,,,
5tp6,-49.78,177,,,
5omm,-45.56,711,,,
5nt7,-28.39,490,,,
5uzu,-45.66,645,,,
5vt9,-45.66,331,,,
5ky4,-28.54,390,,,
5lhn,-45.38,373,,,
5mjy,-28.24,1477,,,
5vkl,-39.65,221,,,
5nus,-45.43,285,,,
5un7,-39.5,363,,,
5h7y,-39.4,299,,,
5vwx,-44.67,340,,,
5nvm,-44.83,407,,,
5hyc,-27.5,277,,,
5v5h,-38.82,241,,,
5u4k,-27.53,120,,,
5f5o,-38.76,1028,,,
6ba6,-21.63,253,,,
5o2t,-38.68,306,,,
5nqf,-38.65,333,,,
5tzq,-44.5,306,,,
6amb,-27.11,249,,,
5tl7,-15.57,781,,,
5mfc,-44.2,1044,,,
5un5,-44.2,417,,,
5hu3,-34.25,281,,,
5mv9,-34.25,600,,,
5me5,-32.35,189,,,
5gwp,-49.53,920,,,
5x4l,-32.14,486,,,
5swk,-31.91,370,,,
5vx2,-49.1,347,,,
5mn2,-31.88,518,,,
5m36,-31.74,464,,,
5h07,-31.68,367,,,
5wb8,-31.69,1073,,,
5ml9,-38.03,275,,,
5v5v,-43.82,4266,,,
5vx0,-26.7,377,,,
5mtn,-43.54,182,,,
5toj,-43.6,1823,,,
5odw,-54.91,1904,,,
5u4y,-43.39,527,,,
5ua4,-43.29,167,,,
5w8t,-26.07,792,,,
5u52,-43.2,484,,,
5y4r,-43.06,782,,,
5mak,-60.15,1025,,,
5ma5,-60.15,1039,,,
5mk0,-31.44,753,,,
5w3x,-31.23,817,,,
5imm,-48.26,245,,,
5ohp,-31.14,465,,,
5l21,-48.13,544,,,
5v52,-31.0,459,,,
5x0w,-31.0,852,,,
5my6,-47.94,671,,,
5o2s,-48.0,1283,,,
5ma6,-54.33,385,,,
5gwo,-42.94,945,,,
5tzp,-42.94,160,,,
5mtj,-36.93,205,,,
5oc7,-42.7,404,,,
6azp,-42.55,633,,,
5v69,-42.49,394,,,
5wos,-36.83,159,,,
5ma3,-59.48,529,,,
5jds,-48.65,242,,,
5y1z,-30.63,874,,,
5xjg,-30.51,1038,,,
5wuj,-36.38,142,,,
5v5i,-36.15,471,,,
5gtb,-24.76,153,,,
5ohm,-58.95,980,,,
5vko,-47.93,230,,,
5tzn,-29.89,525,,,
5ky9,-29.85,384,,,
5ufe,-41.66,220,,,
5nqg,-41.67,415,,,
5ma4,-58.7,523,,,
5v6a,-41.52,391,,,
5nvn,-41.44,400,,,
5tl6,-24.2,782,,,
5oaq,-41.3,244,,,
5ufq,-46.77,446,,,
5ky0,-29.61,387,,,
5o03,-41.22,887,,,
5vcb,-41.14,2970,,,
5twa,-40.98,369,,,
5mtm,-46.55,200,,,
5xsq,-46.42,1013,,,
5lpu,-29.15,860,,,
5xv8,-40.79,153,,,
5vxz,-69.31,956,,,
5o0w,-57.83,1985,,,
6b12,-46.18,530,,,
5xco,-45.95,189,,,
5imk,-34.65,243,,,
5vz4,-46.21,298,,,
5jw7,-28.77,323,,,
5jjd,-28.75,331,,,
5omn,-45.79,425,,,
5v5g,-45.92,488,,,
5o74,-28.54,2126,,,
5ovw,-51.52,2226,,,
5uul,-47.48,175,,,
5otx,-40.12,256,,,
5w89,-45.11,158,,,
5yqz,-47.9,586,,,
6h6y,-55.87,1587,,,
5g15,-38.64,353,,,
5yir,-54.61,409,,,
6mkz,-55.36,528,,,
6hul,-37.23,657,,,
5wpa,-35.73,479,,,
6a7v,-52.64,795,,,
6g04,-35.13,182,,,
6ejg,-51.89,640,,,
6ejm,-51.74,635,,,
6h9n,-34.8,227,,,
6fg8,-34.3,377,,,
5z78,-34.51,517,,,
5o90,-34.01,349,,,
6co2,-33.79,596,,,
5nqw,-50.54,668,,,
6dcn,-33.41,330,,,
6f9s,-33.05,210,,,
5xda,-33.08,3732,,,
6fv0,-32.9,384,,,
5nzz,-32.93,2863,,,
5yi8,-32.79,162,,,
6b05,-32.66,944,,,
6arq,-28.49,409,,,
5w9a,-22.76,611,,,
5oen,-45.66,336,,,
5xqz,-28.03,504,,,
6ff3,-44.9,247,,,
6e3j,-44.83,173,,,
6bxc,-45.01,1213,,,
5xwt,-27.63,1447,,,
6asr,-27.55,189,,,
5uv8,-39.11,737,,,
6bx5,-44.83,442,,,
5nt1,-27.36,878,,,
6fq0,-38.79,668,,,
6aaf,-38.77,134,,,
5uwc,-44.23,365,,,
5nl1,-38.58,991,,,
6e2p,-26.99,938,,,
5yc5,-38.5,595,,,
5xln,-31.99,191,,,
6isc,-32.08,337,,,
5vu0,-49.1,596,,,
6i3f,-43.91,758,,,
6fc3,-43.94,219,,,
6b8n,-38.11,878,,,
6bx4,-38.11,438,,,
5mr4,-38.0,766,,,
6gbu,-37.7,473,,,
6imf,-43.49,295,,,
5xiu,-26.27,120,,,
5ydr,-26.13,398,,,
5xod,-43.1,215,,,
5xnp,-37.39,1304,,,
6fub,-43.02,174,,,
6fuz,-31.37,379,,,
6e3i,-48.48,173,,,
5oy9,-30.97,446,,,
5yip,-48.13,146,,,
6gd5,-48.06,138,,,
6bmt,-37.15,643,,,
6fc2,-31.21,475,,,
5kof,-25.26,963,,,
5ywr,-42.29,237,,,
6fp7,-48.65,388,,,
5yis,-47.81,274,,,
6bw9,-47.7,440,,,
6h6z,-47.6,824,,,
6fu9,-47.53,329,,,
6f3z,-36.49,831,,,
6bxa,-42.23,1268,,,
6gbg,-36.41,431,,,
6h71,-42.02,812,,,
6fgo,-36.28,1094,,,
5vzm,-24.61,187,,,
6fhp,-41.77,805,,,
6g10,-46.97,230,,,
6dsl,-53.09,151,,,
6aw2,-41.35,460,,,
5n48,-47.38,534,,,
6mgp,-35.2,885,,,
6gbh,-40.87,852,,,
5oyl,-29.25,455,,,
5yr0,-29.22,92,,,
6fud,-40.73,158,,,
6eg1,-23.49,1029,,,
6eg0,-23.46,510,,,
5n47,-46.55,1268,,,
6cbp,-29.42,265,,,
5mr5,-40.51,592,,,
6a3v,-40.34,3342,,,
5vmo,-34.54,139,,,
5xoc,-29.09,327,,,
6d13,-45.84,433,,,
6fe4,-45.76,940,,,
6ch3,-28.54,486,,,
6ch2,-25.9,1426,,,
5mrv,-30.94,667,,,
6gfi,-53.12,560,,,
5zvm,-39.83,309,,,
6oao,-51.88,3080,,,
6d68,-39.4,463,,,
6oan,-49.16,959,,,
6d4p,-42.74,223,,,
6dgf,-47.51,406,,,
6sak,-42.86,729,,,
6f0g,-41.44,356,,,
6cwg,-57.03,775,,,
6jb8,-56.45,254,,,
6j4s,-38.79,282,,,
6q69,-38.64,341,,,
6f0f,-38.5,183,,,
6ird,-38.11,434,,,
6dld,-54.91,1056,,,
6p7s,-54.91,1107,,,
6n85,-37.78,796,,,
5zqv,-37.59,1258,,,
6jcs,-37.34,613,,,
6ndz,-55.36,931,,,
6u2h,-54.12,1009,,,
6j7w,-54.35,311,,,
6p7y,-52.81,1133,,,
6kbm,-35.51,527,,,
5z2w,-35.24,244,,,
6j56,-35.24,276,,,
6r2g,-69.18,184,,,
6gho,-34.8,400,,,
6iu7,-51.63,444,,,
6mud,-34.2,275,,,
6c83,-34.25,634,,,
5zo2,-34.01,589,,,
6og4,-50.74,197,,,
5z7l,-33.79,305,,,
6gum,-33.79,266,,,
6in9,-33.79,628,,,
6ne2,-50.72,312,,,
6kbn,-33.31,1044,,,
6ne1,-50.54,278,,,
6ne4,-50.2,313,,,
6uys,-33.08,166,,,
6moe,-49.79,755,,,
6o3o,-32.79,993,,,
6m7l,-28.44,792,,,
6ire,-45.52,416,,,
6fpg,-39.91,1675,,,
6h47,-45.66,304,,,
6i07,-45.66,904,,,
6on9,-28.54,226,,,
6ivu,-62.55,171,,,
6o8b,-28.3,1336,,,
6h15,-45.05,1462,,,
6iwa,-39.38,454,,,
6m9k,-28.09,873,,,
6mba,-44.35,275,,,
6iwd,-44.18,338,,,
6j4o,-44.2,268,,,
6jhw,-44.2,508,,,
6mun,-34.25,267,,,
5z7g,-32.47,305,,,
6iua,-49.65,444,,,
6gvk,-32.53,226,,,
6uyu,-32.53,170,,,
6qb3,-32.1,370,,,
6cxl,-49.2,864,,,
6fto,-49.0,207,,,
6umt,-49.0,208,,,
6jdj,-38.24,289,,,
6j9l,-32.39,251,,,
6k06,-37.92,448,,,
6nrw,-26.47,424,,,
6a6x,-43.31,351,,,
6gjq,-43.39,1231,,,
6im9,-43.39,577,,,
6oqq,-43.11,1755,,,
6jb2,-37.27,255,,,
6pnp,-37.24,325,,,
6osw,-32.53,79,,,
6idx,-31.24,526,,,
6ov2,-48.21,309,,,
6n6r,-30.94,433,,,
6f2g,-48.0,561,,,
6obn,-42.91,1157,,,
6mc9,-37.19,291,,,
6h46,-42.94,324,,,
6h16,-42.79,726,,,
6iw8,-36.98,447,,,
6fbx,-36.9,170,,,
6gtq,-36.73,393,,,
6f0h,-48.65,356,,,
6her,-42.23,227,,,
6s8s,-36.46,415,,,
6j9h,-42.1,525,,,
6oqk,-42.1,139,,,
6gvl,-24.87,222,,,
6pnq,-41.72,327,,,
6thg,-47.93,2763,,,
6km7,-30.16,691,,,
6i2m,-47.23,539,,,
6er6,-41.62,213,,,
6ihb,-41.35,611,,,
6k4k,-46.73,1686,,,
6akm,-29.46,93,,,
5zau,-41.22,121,,,
6s29,-46.29,894,,,
6mm6,-23.59,1037,,,
6ere,-40.73,425,,,
6jjw,-46.15,109,,,
6kbr,-63.07,278,,,
6j9m,-40.48,510,,,
6jwj,-40.34,485,,,
6plm,-40.23,1779,,,
6czo,-40.24,628,,,
6ib8,-40.11,594,,,
6oqj,-45.92,139,,,
6saz,-56.24,864,,,
6ht9,-57.08,1015,,,
6dwh,-55.36,2316,,,
6bx8,-38.24,1113,,,
6dwf,-50.72,2316,,,
6n9d,-61.36,336,,,
6mav,-59.79,335,,,
6har,-58.3,278,,,
