pdb_id	delta_G	complex_count	delta_H
6gbu	-37.70	473	-55.10
6imf	-43.49	295	-57.70
5xiu	-26.27	120	-37.36
5ydr	-26.13	398	-42.19
5xod	-43.10	215	-55.88
5xnp	-37.39	1304	-69.65
6fub	-43.02	174	-55.07
6fuz	-31.37	379	-47.09
6e3i	-48.48	173	-60.51
5oy9	-30.97	446	-47.88
5yip	-48.13	146	-59.68
6gd5	-48.06	138	-59.47
6bmt	-37.15	643	-57.59
6fc2	-31.21	475	-48.64
5kof	-25.26	963	-51.42
5ywr	-42.29	237	-55.47
6fp7	-48.65	388	-64.53
5yis	-47.81	274	-61.65
6bw9	-47.70	440	-64.51
6h6z	-47.60	824	-71.27
6fu9	-47.53	329	-62.35
6f3z	-36.49	831	-60.29
6bxa	-42.23	1268	-73.84
6gbg	-36.41	431	-53.06
6h71	-42.02	812	-65.48
6fgo	-36.28	1094	-64.78
5vzm	-24.61	187	-36.89
6fhp	-41.77	805	-65.10
6g10	-46.97	230	-60.02
6dsl	-53.09	151	-64.73
6aw2	-41.35	460	-58.51
5n48	-47.38	534	-65.87
6mgp	-35.20	885	-59.96
6gbh	-40.87	852	-65.04
5oyl	-29.25	455	-46.33
5yr0	-29.22	92	-39.80
6fud	-40.73	158	-52.50
6eg1	-23.49	1029	-50.83
6eg0	-23.46	510	-41.52
5n47	-46.55	1268	-78.16
6cbp	-29.42	265	-43.10
5mr5	-40.51	592	-60.03
6a3v	-40.34	3342	-109.03
5vmo	-34.54	139	-45.97
5xoc	-29.09	327	-43.88
6d13	-45.84	433	-62.52
6fe4	-45.76	940	-71.51
6ch3	-28.54	486	-46.17
6ch2	-25.90	1426	-60.34
5mrv	-30.94	667	-51.81
6gfi	-53.12	560	-72.07
5zvm	-39.83	309	-54.29
6oao	-51.88	3080	-115.89
6d68	-39.40	463	-56.62
6oan	-49.16	959	-75.25
6d4p	-42.74	223	-55.67
6dgf	-47.51	406	-63.71
6sak	-42.86	729	-64.83
6f0g	-41.44	356	-56.75
6cwg	-57.03	775	-79.83
6jb8	-56.45	254	-69.93
6j4s	-38.79	282	-52.77
6q69	-38.64	341	-53.68
6f0f	-38.50	183	-50.71
6ird	-38.11	434	-54.81
6dld	-54.91	1056	-82.73
6p7s	-54.91	1107	-83.64
6n85	-37.78	796	-60.95
5zqv	-37.59	1258	-69.02
6jcs	-37.34	613	-57.24
6ndz	-55.36	931	-80.95
6u2h	-54.12	1009	-81.10
6j7w	-54.35	311	-68.85
6p7y	-52.81	1133	-82.01
6kbm	-35.51	527	-53.87
5z2w	-35.24	244	-48.54
6j56	-35.24	276	-49.11
6r2g	-69.18	184	-81.41
6gho	-34.80	400	-50.89
6iu7	-51.63	444	-68.51
6mud	-34.20	275	-48.06
6c83	-34.25	634	-54.53
5zo2	-34.01	589	-53.48
6og4	-50.74	197	-63.20
5z7l	-33.79	305	-48.18
6gum	-33.79	266	-47.49
6in9	-33.79	628	-53.96
6ne2	-50.72	312	-65.24
6kbn	-33.31	1044	-60.92
6ne1	-50.54	278	-64.45
6ne4	-50.20	313	-64.74
6uys	-33.08	166	-44.99
6moe	-49.79	755	-72.23
6o3o	-32.79	993	-59.48
6m7l	-28.44	792	-51.54
6ire	-45.52	416	-61.90
6fpg	-39.91	1675	-78.80
6h47	-45.66	304	-60.04
6i07	-45.66	904	-70.76
6on9	-28.54	226	-41.52
6ivu	-62.55	171	-74.55
6o8b	-28.30	1336	-61.13
6h15	-45.05	1462	-80.13
6iwa	-39.38	454	-56.44
6m9k	-28.09	873	-52.64
6mba	-44.35	275	-58.21
6iwd	-44.18	338	-59.16
6j4o	-44.20	268	-57.93
6jhw	-44.20	508	-62.22
6mun	-34.25	267	-47.96
5z7g	-32.47	305	-46.86
6iua	-49.65	444	-66.53
6gvk	-32.53	226	-45.51
6uyu	-32.53	170	-44.51
6qb3	-32.10	370	-47.66
6cxl	-49.20	864	-73.59
6fto	-49.00	207	-61.64
6umt	-49.00	208	-61.66
6jdj	-38.24	289	-52.35
6j9l	-32.39	251	-45.82
6k06	-37.92	448	-54.87
6nrw	-26.47	424	-42.99
6a6x	-43.31	351	-58.53
6gjq	-43.39	1231	-74.34
6im9	-43.39	577	-62.65
6oqq	-43.11	1755	-83.43
6jb2	-37.27	255	-50.77
6pnp	-37.24	325	-51.99
6osw	-32.53	79	-42.88
6idx	-31.24	526	-49.58
6ov2	-48.21	309	-62.67
6n6r	-30.94	433	-47.62
6f2g	-48.00	561	-66.97
6obn	-42.91	1157	-72.54
6mc9	-37.19	291	-51.33
6h46	-42.94	324	-57.67
6h16	-42.79	726	-64.71
6iw8	-36.98	447	-53.91
6fbx	-36.90	170	-48.88
6gtq	-36.73	393	-52.70
6f0h	-48.65	356	-63.96
6her	-42.23	227	-55.23
6s8s	-36.46	415	-52.82
6j9h	-42.10	525	-60.43
6oqk	-42.10	139	-53.53
6gvl	-24.87	222	-37.78
6pnq	-41.72	327	-56.51
6thg	-47.93	2763	-106.27
6km7	-30.16	691	-51.46
6i2m	-47.23	539	-65.81
6er6	-41.62	213	-54.37
6ihb	-41.35	611	-61.21
6k4k	-46.73	1686	-85.82
6akm	-29.46	93	-40.06
5zau	-41.22	121	-52.32
6s29	-46.29	894	-71.21
6mm6	-23.59	1037	-51.07
6ere	-40.73	425	-57.27
6jjw	-46.15	109	-57.04
6kbr	-63.07	278	-76.98
6j9m	-40.48	510	-58.54
6jwj	-40.34	485	-57.95
6plm	-40.23	1779	-80.98
6czo	-40.24	628	-60.41
6ib8	-40.11	594	-59.67
6oqj	-45.92	139	-57.35
6saz	-56.24	864	-80.63
6ht9	-57.08	1015	-84.17
6dwh	-55.36	2316	-105.71
6bx8	-38.24	1113	-67.08
6dwf	-50.72	2316	-101.07
6n9d	-61.36	336	-76.31
6mav	-59.79	335	-74.72
6har	-58.30	278	-72.21
